자치구,대여소명,기준년월,대여건수,반납건수,대여반납차이,이용건수
서대문구,115. 마스타 빌딩 앞,202304,1034,745,289,1779
서대문구,117. 홍은사거리,202304,3751,3584,167,7335
서대문구,123. 문화촌 공원,202304,2154,2160,-6,4314
서대문구,128. 신촌역(2호선) 1번출구 옆,202304,1366,1314,52,2680
서대문구,131. 증산2교,202304,2760,2985,-225,5745
서대문구,133. 해담는다리,202304,2654,2801,-147,5455
서대문구,134. 연세로 명물길,202304,949,931,18,1880
서대문구,135. 명물길 원형무대 앞,202304,722,689,33,1411
서대문구,137. 신촌기차역입구 교차로,202304,591,412,179,1003
서대문구,138. 신촌동 제1공영주차장 앞,202304,786,757,29,1543
서대문구,139. 연세대 정문 건너편,202304,409,308,101,717
서대문구,140. 이화여대 후문,202304,850,819,31,1669
서대문구,141. 연대 대운동장 옆,202304,686,537,149,1223
서대문구,159. 이대역 4번 출구,202304,505,365,140,870
서대문구,160. 북아현동 가구거리,202304,598,500,98,1098
서대문구,161. 무악재역1번 출구,202304,392,333,59,725
서대문구,162. 봉원고가차도 밑,202304,977,415,562,1392
서대문구,163. 명지전문대학교 정문 앞,202304,717,640,77,1357
서대문구,164. 북가좌1동 주민센터 ,202304,517,424,93,941
서대문구,165. 중앙근린공원,202304,1362,1105,257,2467
서대문구,166. 가재울 초등학교,202304,1706,1625,81,3331
서대문구,167. 연가초등학교 옆,202304,608,139,469,747
서대문구,169. 북가좌 삼거리,202304,549,472,77,1021
서대문구,170. DMC파크뷰자이아파트 302동 앞,202304,1110,1058,52,2168
서대문구,171. 임광빌딩 앞,202304,425,422,3,847
서대문구,173. 서대문역 8번출구 앞,202304,440,430,10,870
서대문구,175. 홍연2교옆,202304,1565,1483,82,3048
서대문구,176. 명지대학교 도서관,202304,2573,2492,81,5065
서대문구,177. 북가좌 초등학교,202304,897,866,31,1763
서대문구,178. 증산3교 앞,202304,1728,1752,-24,3480
서대문구,179. 가좌역 4번출구 앞,202304,1869,1898,-29,3767
서대문구,180. 충정로역 7번출구 아래,202304,669,493,176,1162
서대문구,188. 홍은동 정원여중 입구,202304,1002,938,64,1940
서대문구,191. 서우빌딩,202304,1267,1308,-41,2575
서대문구,192. 연서어린이공원,202304,758,718,40,1476
서대문구,194. 증산교 앞,202304,2234,2110,124,4344
서대문구,195. 모래내고가차도 ,202304,771,705,66,1476
서대문구,196. 연희교차로 인근,202304,736,575,161,1311
서대문구,198. 충정2교,202304,780,524,256,1304
서대문구,3100. 북성초교,202304,448,368,80,816
서대문구,3101. 서대문구청,202304,627,542,85,1169
서대문구,3102. 연희삼거리,202304,1197,1139,58,2336
서대문구,3103. 홍제삼거리 북측,202304,1381,1367,14,2748
서대문구,3104. e편한세상 신촌4단지 앞,202304,813,763,50,1576
서대문구,3105. 홍은센트레빌 아파트 앞,202304,363,174,189,537
서대문구,3107. 연희초등학교 앞,202304,644,606,38,1250
서대문구,3109. 북한산더샾 106동 앞,202304,342,295,47,637
서대문구,3110. 홍은 현대아이파크 아파트 202동 앞,202304,763,745,18,1508
서대문구,3111. 무악재역 4번 출구,202304,330,289,41,619
서대문구,3113. 독립문역사거리,202304,698,628,70,1326
서대문구,3114. 충정로역 3번 출구,202304,282,229,53,511
서대문구,3115. 북아현 치안센터 인근,202304,772,674,98,1446
서대문구,3116. 신촌역 4번출구,202304,758,735,23,1493
서대문구,3117. 이화여대 인문관 인근,202304,292,293,-1,585
서대문구,3119. 연희 브라운스톤 아파트 앞,202304,2098,2021,77,4119
서대문구,3120. DMC엘가아파트 앞,202304,1434,1368,66,2802
서대문구,3121. 가좌삼거리,202304,1519,1461,58,2980
서대문구,3122. 북가좌삼거리2,202304,830,788,42,1618
서대문구,3123. DMC파크뷰자이1단지 110동 앞,202304,1004,901,103,1905
서대문구,3125. 연희파크푸르지오아파트 앞,202304,1463,1407,56,2870
서대문구,3126. 남가좌동 제2공영주차장,202304,258,229,29,487
서대문구,3127. 홍은2파출소 옆,202304,715,680,35,1395
서대문구,3128. 동신병원 맞은편,202304,1570,1458,112,3028
서대문구,3129. DMC래미안e편한세상203동옆,202304,755,707,48,1462
서대문구,3130. 가재울사거리,202304,839,552,287,1391
서대문구,3131. 연가교 교차로,202304,1128,1026,102,2154
서대문구,3132. 홍제교,202304,898,874,24,1772
서대문구,3134. SK리쳄블(상수도사업본부),202304,515,465,50,980
서대문구,4253. 홍은도담도서관,202304,758,676,82,1434
서대문구,4255. 래미안 루센티아 아파트 108동 앞,202304,1451,955,496,2406
서대문구,4262. 서대문자연사박물관 입구,202304,460,314,146,774
서대문구,4264. 홍남교 버스정류장,202304,806,770,36,1576
서대문구,4265. 안산초등학교 앞,202304,108,71,37,179
서대문구,4266. 국민연금공단충정로사옥,202304,286,264,22,550
서대문구,4267. 서대문역 2번 출구,202304,1564,1510,54,3074
서대문구,4269. 연희IC 남측,202304,1199,1126,73,2325
서대문구,4270. 우국한마음 아파트 맞은편,202304,1401,1414,-13,2815
서대문구,4271. 충정로역 1번 출구,202304,315,232,83,547
서대문구,4272. 홍남교 사거리,202304,1605,1581,24,3186
서대문구,4273. 홍연2교 사거리,202304,640,626,14,1266
서대문구,4274. 신촌 파랑고래 입구,202304,1004,961,43,1965
서대문구,4275. 농협생명본사빌딩 서관,202304,593,599,-6,1192
