대여소명,자치구,위도,경도
115. 마스타 빌딩 앞,서대문구,37.55893326,126.9271164
117. 홍은사거리,서대문구,37.59115982,126.94133
123. 문화촌 공원,서대문구,37.59432983,126.9473877
128. 신촌역(2호선) 1번출구 옆,서대문구,37.55549622,126.9363403
131. 증산2교,서대문구,37.5841713,126.9111023
133. 해담는다리,서대문구,37.58203125,126.9089966
134. 연세로 명물길,서대문구,37.55789185,126.9380798
135. 명물길 원형무대 앞,서대문구,37.55922699,126.9398422
137. 신촌기차역입구 교차로,서대문구,37.55681229,126.9431839
138. 신촌동 제1공영주차장 앞,서대문구,37.5591774,126.9345245
139. 연세대 정문 건너편,서대문구,37.55986404,126.9344177
140. 이화여대 후문,서대문구,37.560009,126.9407349
141. 연대 대운동장 옆,서대문구,37.56238174,126.9326477
159. 이대역 4번 출구,서대문구,37.55695343,126.9463425
160. 북아현동 가구거리,서대문구,37.55754852,126.9593811
161. 무악재역1번 출구,서대문구,37.58224487,126.9506455
162. 봉원고가차도 밑,서대문구,37.56526947,126.9462433
163. 명지전문대학교 정문 앞,서대문구,37.58369827,126.9249649
164. 북가좌1동 주민센터,서대문구,37.57447815,126.9100494
165. 중앙근린공원,서대문구,37.57513809,126.9139404
166. 가재울 초등학교,서대문구,37.57381821,126.9192352
167. 연가초등학교 옆,서대문구,37.57946014,126.9171295
169. 북가좌 삼거리,서대문구,37.57300186,126.9077988
170. DMC파크뷰자이아파트 302동 앞,서대문구,37.57311249,126.9224472
171. 임광빌딩 앞,서대문구,37.56472397,126.9672775
173. 서대문역 8번출구 앞,서대문구,37.56477737,126.9661484
175. 홍연2교옆,서대문구,37.57806778,126.9308853
176. 명지대학교 도서관,서대문구,37.58109665,126.9240265
177. 북가좌 초등학교,서대문구,37.57767487,126.9098053
178. 증산3교 앞,서대문구,37.57987595,126.9063492
179. 가좌역 4번출구 앞,서대문구,37.56877518,126.9152985
180. 충정로역 7번출구 아래,서대문구,37.55996704,126.9624634
188. 홍은동 정원여중 입구,서대문구,37.58638763,126.9351273
191. 서우빌딩,서대문구,37.57889175,126.9107361
192. 연서어린이공원,서대문구,37.57222748,126.9230652
194. 증산교 앞,서대문구,37.57731628,126.9029694
195. 모래내고가차도,서대문구,37.56765747,126.9178085
196. 연희교차로 인근,서대문구,37.56612015,126.9258957
198. 충정2교,서대문구,37.5621376,126.9637756
3100. 북성초교,서대문구,37.55739594,126.9521637
3101. 서대문구청,서대문구,37.57838058,126.9360962
3102. 연희삼거리,서대문구,37.56799698,126.9316559
3103. 홍제삼거리 북측,서대문구,37.58670044,126.9467697
3104. e편한세상 신촌4단지 앞,서대문구,37.55812836,126.9562073
3105. 홍은센트레빌 아파트 앞,서대문구,37.5971489,126.93853
3109. 북한산더? 106동 앞,서대문구,37.59293365,126.9412918
3110. 홍은 현대아이파크 아파트 202동 앞,서대문구,37.58928299,126.9369431
3111. 무악재역 4번 출구,서대문구,37.58221054,126.9501648
3113. 독립문역사거리,서대문구,37.57220459,126.9597473
3114. 충정로역 3번 출구,서대문구,37.56046295,126.9655228
3115. 북아현 치안센터 인근,서대문구,37.56145477,126.9557495
3116. 신촌역 4번출구,서대문구,37.55550385,126.9372025
3117. 이화여대 인문관 인근,서대문구,37.56406784,126.9453278
3119. 연희 브라운스톤 아파트 앞,서대문구,37.56519699,126.9298554
3120. DMC엘가아파트 앞,서대문구,37.56983566,126.9180908
3121. 가좌삼거리,서대문구,37.57065201,126.9129868
3122. 북가좌삼거리2,서대문구,37.5742836,126.9064636
3123. DMC파크뷰자이1단지 110동 앞,서대문구,37.5723877,126.9151077
3125. 연희파크푸르지오아파트 앞,서대문구,37.57564163,126.9278259
3126. 남가좌동 제2공영주차장,서대문구,37.58334351,126.9227448
3127. 홍은2파출소 옆,서대문구,37.58333588,126.9362869
3128. 동신병원 맞은편,서대문구,37.5813179,126.935997
3129. DMC래미안e편한세상203동옆,서대문구,37.57626343,126.9113236
3130. 가재울사거리,서대문구,37.57456207,126.9179916
3131. 연가교 교차로,서대문구,37.57215881,126.9211884
3132. 홍제교,서대문구,37.59186172,126.9442139
3134. SK리쳄블(상수도사업본부),서대문구,37.56131744,126.9665833
4253. 홍은도담도서관,서대문구,37.60169601,126.9491653
4255. 래미안 루센티아 아파트 108동 앞,서대문구,37.57515717,126.91745
4262. 서대문자연사박물관 입구,서대문구,37.57540131,126.9354401
4264. 홍남교 버스정류장,서대문구,37.57675552,126.9282761
4265. 안산초등학교 앞,서대문구,37.57987976,126.952301
4266. 국민연금공단충정로사옥,서대문구,37.56184769,126.9641495
4267. 서대문역 2번 출구,서대문구,37.56599045,126.9660721
4269. 연희IC 남측,서대문구,37.56355667,126.9282761
4270. 우국한마음 아파트 맞은편,서대문구,37.57913971,126.9345093
4271. 충정로역 1번 출구,서대문구,37.55942535,126.9630585
4272. 홍남교 사거리,서대문구,37.57601929,126.9268341
4273. 홍연2교 사거리,서대문구,37.57716751,126.9290619
4274. 신촌 파랑고래 입구,서대문구,37.55687714,126.9360352
4275. 농협생명본사빌딩 서관,서대문구,37.56233597,126.9690933
